GeoID,Location_Name,State,State_Abbr,County,Year,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct,RC_Chapter,RC_Chapter_Code,RC_Region,RC_Region_Code,RC_Division,RC_Division_Code,RC_FEMA_Region
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2010,19777,2066,5523,12188,10.4,27.9,38.4,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2012,20001,2652,6602,10747,13.3,33.0,46.3,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2014,20304,2561,6881,10862,12.6,33.9,46.5,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2016,20800,2642,6290,11868,12.7,30.2,42.9,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2018,21115,3175,5694,12246,15.0,27.0,42.0,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2019,21397,3148,7316,10933,14.7,34.2,48.9,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2021,21856,2839,7332,11685,13.0,33.5,46.5,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2022,22308,2396,7679,12233,10.7,34.4,45.2,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01001,"Autauga County, Alabama",Alabama,AL,Autauga,2023,22523,2251,7510,12762,10.0,33.3,43.3,ARC serving Central East Alabama,01216,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2010,68096,8072,18305,41719,11.9,26.9,38.7,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2012,77978,10395,19092,48491,13.3,24.5,37.8,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2014,71307,8713,24161,38433,12.2,33.9,46.1,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2016,76779,9630,21591,45558,12.5,28.1,40.7,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2018,83501,8903,25086,49512,10.7,30.0,40.7,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2019,82325,8239,27639,46447,10.0,33.6,43.6,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2021,94105,8633,32764,52708,9.2,34.8,44.0,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2022,98854,14013,27416,57425,14.2,27.7,41.9,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
01003,"Baldwin County, Alabama",Alabama,AL,Baldwin,2023,105698,9980,31119,64599,9.4,29.4,38.9,ARC serving South Alabama,01208,Alabama and Mississippi Region,01R04,Southeast and Caribbean Division,D25,IV
